지하철역,4승,4하,5승,5하,6승,6하,7승,7하,8승,8하,9승,9하,10승,10하,11승,11하,12승,12하,13승,13하,14승,14하,15승,15하,16승,16하,17승,17하,18승,18하,19승,19하,20승,20하,21승,21하,22승,22하,23승,23하,24승,24하,1승,1하,2승,2하,3승,3하
2호선 신당,58,3,5456,1189,10747,8555,26939,17689,41799,36224,25054,22864,17344,17719,16965,17589,18553,18471,19956,19915,20268,20281,21299,21900,24612,24492,28113,30581,33749,42969,21752,30939,15691,17891,14589,17481,13543,19807,3065,7562,2,85,0,1,0,0,0,0
2호선 상왕십리,30,2,5461,529,12431,5169,38846,11737,59428,36857,31101,19637,19214,12737,17161,11452,18521,13408,18222,14501,17008,15903,18598,17624,19267,20782,23367,30307,29725,48674,17224,34445,11906,20779,11020,20813,8271,22911,1541,8543,1,16,0,0,0,0,0,0
2호선 왕십리(성동구청),868,1,6333,706,9499,5171,25690,12396,43586,27996,26276,16968,17107,13282,17488,13676,19853,16515,21407,17407,20701,18032,22989,19259,30559,23058,33558,33433,37236,53075,23160,33004,22079,17665,28698,15845,30151,20220,4781,7753,17,105,0,1,0,0,0,0
2호선 한양대,3,0,774,207,2081,5177,4911,10606,7678,39961,5409,30755,4934,19066,8158,11720,9209,14436,11281,15977,11415,12697,13364,9358,19693,8448,30131,9069,29491,9741,13100,6019,9629,4669,10649,4383,9598,5540,2892,2364,1,12,0,0,0,0,0,0
2호선 뚝섬,17,2,3292,2028,7894,12947,18777,35866,25897,136849,16410,84341,12701,33830,13206,23965,16265,25444,19654,27969,22637,25548,26514,25564,34689,27481,58456,30748,121159,40813,62445,24342,35226,13187,34831,11467,27663,13243,3130,5287,1,49,0,0,0,0,0,0
2호선 성수,33,0,5190,3530,8899,26035,23453,73164,31011,270033,22777,138271,19389,46844,20556,33920,23798,36535,28159,41206,32387,39721,38322,39969,49045,40970,98372,44351,222799,54398,99843,33083,57322,16512,62547,13996,45801,15039,5115,8327,5,1825,2,2,0,0,0,0
2호선 건대입구,134,11,12974,1812,19305,18285,50695,26782,87634,61741,56878,46216,33037,35371,31551,38223,36842,46567,40173,53803,42011,54492,46378,59315,54972,70277,68891,97040,83500,141628,60900,94432,60784,49580,86136,43879,78743,49477,9854,20963,8,1803,0,0,0,0,0,0
2호선 구의(광진구청),23,1,13316,1030,24567,8778,65635,14430,111199,39450,62154,21678,31937,18077,27203,18578,28735,21171,28146,23636,25892,25506,25893,32667,29018,37648,33211,52542,42100,89721,20855,67843,16146,42219,16943,39085,15801,46216,4114,15583,3,911,0,0,0,0,0,0
2호선 강변(동서울터미널),17,1,7602,1740,25231,16953,76478,22553,104787,42807,71778,33927,50561,32287,46628,31270,46288,35425,44204,40159,42297,42317,43006,48974,45357,55415,51409,71118,58461,106766,40539,78557,29187,49220,25545,40341,15991,49575,4428,13481,2,267,0,0,0,0,0,0
2호선 잠실나루,3,0,2882,1386,10488,9419,38304,21718,44502,37425,26605,23470,20672,16851,20052,14525,19457,18035,18342,18648,19875,17030,21411,16698,26428,17312,31266,22823,30387,37790,14433,29845,10097,16911,7840,16413,6422,19521,1547,6322,0,89,0,0,0,0,0,0
